source_id,target_id,score
H6FL18097,S4AR00103,3
S0ME00111,P00009423,3
P80000722,S0TX00233,3
H8TX32098,H8TX07140,3
H8FL26039,H8TX07140,3
S0FL00338,H0LA01087,3
H6MN02131,H8CA10167,3
H8KS03155,H8VA07094,3
H8GA06393,H8VA07094,3
H8TX23121,P00010454,3
H8VA02111,H8GA06393,3
H8VA07094,H8GA06393,3
S0AZ00350,H8TX07140,3
H8CA10126,H8NM02248,3
S0TX00233,P80000722,3
H8NJ02166,H8NJ11142,3
H8NY19181,H8IA03124,3
H8IA03124,H8CA10126,3
H8ME02185,S0AZ00350,3
H8NY19181,H8IA01094,3
H8NJ11142,H8NJ07223,3
H8NM02248,H8IA01094,3
P00009621,S0AL00156,3
H0NC09187,S4CO00395,3
H8KS03155,H8CA45130,3
H8CA10167,H8TX23121,3
S0ME00111,P00010298,3
H8TX23121,H8NJ03206,3
H8KS03155,P00009423,3
H8MI11254,H6MN02131,3
H8CA45130,H8TX07140,3
S0NM00058,S0AZ00350,3
H8IA01094,H8MI08102,3
S0AZ00350,H8ME02185,3
S0FL00338,S4AK00214,3
H8CA20059,H0LA01087,3
H8CA10126,P00010298,3
H8NM02156,H0NC09187,3
H8NJ03206,H8NM02248,3
H8IA03124,H8NY19181,3
H8NM02248,H8CA10126,3
P00009621,H8CA25074,3
H8CA39174,H8CA45130,3
H8TX07140,H8CA45130,3
H8FL26039,H8TX23121,3
H8MI11254,H8MI08102,3
S2TX00312,S8AZ00221,3
P00009621,H8NJ07223,3
P00009092,S0AZ00350,3
H8NM02248,H8CA48035,3
S8OR00207,S4MA00028,3
H8TX23121,P00009092,3
P00009423,H8CA05035,3
H8IA03124,H8OK05109,3
H8MT01232,P00011999,3
P00009423,H8KS03155,3
H8IL14174,P00009621,3
H0OH05074,H8TX23121,3
H6GA05217,S0NM00058,3
H8FL26039,H8GA06393,3
S0TX00233,H8TX10110,3
H8IL14174,H8GA06393,3
H8NM02248,H8FL26039,3
H8TX07140,H8CA48035,3
S0SC00289,H8SC01116,3
P00009290,H8TX23121,3
P00011833,P80006117,3
H8IL14174,H8KS03155,3
H8FL26039,H8KS03155,3
S8AZ00221,H6FL18097,3
H8IL14174,H8IA03124,3
H0LA01087,H8CA20059,3
S0AZ00350,H8CA05035,3
S0AZ00350,H8IA03124,3
H8TX07140,H8TX25159,3
P80006117,P00009795,3
H8GA06393,H8KS03155,3
H8MI08102,H8IA01094,3
H8CA05035,P00009423,3
P00009423,S0ME00111,3
H8CA10126,H8IL14174,3
H0LA01087,S0FL00338,3
S4AR00103,H0LA01087,3
H8ME02185,P80000722,3
H8KS03155,H8CA48035,3
H8CA25074,H8NY15148,3
S0AL00156,S0ME00111,3
H8SC01116,H8NJ02166,3
H8VA07094,H8CA10126,3
H8CA45130,P00009092,3
H8CA05035,S0AZ00350,3
H6MN02131,H8TX23121,3
H8NM02248,H8NJ03206,3
H8KS03155,H8IA03124,3
H8NY19181,H8MI11254,3
H6MN02131,H8KS03155,3
P00011999,P00009092,3
H8NM02248,S0NM00058,3
H8NM01331,H8NM02248,3
H6MN02131,H8IA03124,3
S0SC00289,P00010793,3
S0ME00111,S0IA00176,3
H8NM02248,H8ME02185,3
P00010298,S0ME00111,3
H8TX23121,P00009290,3
P00010793,S0TX00233,3
H8TX32098,H8CA39174,3
P00010454,H8WA08189,3
P00009621,S6NH00091,3
H8TX07140,H8IA03124,3
H8TX23121,H8GA06393,3
S6IL00151,S6IL00292,3
P00009621,H8KS03155,3
H8VA07094,H8ME02185,3
H6WA07458,H8NY15148,3
P00009621,H8CA05035,3
S0SC00289,H8TX23121,3
H8KS03155,H8IL14174,3
S0NM00058,H8NM02248,3
S0TX00233,P00010793,3
H6GA05217,P80000722,3
H8OK05109,H8NJ02166,3
S0TX00233,H8ME02185,3
P00009092,H8CA45130,3
H8NJ03206,H8TX32098,3
H8TX21307,H8NM02156,3
H8NJ03206,H8TX23121,3
H8KS03155,H6MN02131,3
H8VA07094,H8FL26039,3
H0NC09187,H8NM02156,3
H8CA48035,H8TX07140,3
H8CA25074,H8VA07094,3
S0NM00058,H6GA05217,3
H8CA10167,H6MN02131,3
H8IA01094,H8NM02248,3
H8IA03124,H8KS03155,3
H8VA07094,H8OK05109,3
H8CA10126,H8IA03124,3
H4WA04104,S0FL00338,3
P00010298,H8NY15148,3
H8NJ11142,H8SC01116,3
S6NH00091,P00009621,3
S4MA00028,S8OR00207,3
H8CA10167,H8CA45130,3
H8MI08102,H8MI11254,3
S0NM00074,H8TX23121,3
H8IA03124,S0AZ00350,3
H8OK05109,H8VA07094,3
H8SC01116,S0SC00289,3
H8IA01094,H0IA02156,3
H8GA06393,H8VA02111,3
H8VA07094,H8MI11254,3
S8MN00578,S0NH00219,3
S0AZ00350,S0TX00233,3
P00010454,P00009795,3
H8NJ03206,H8VA07094,3
H8TX23121,S0NM00074,3
P80000722,S2CT00132,3
S8AZ00221,H8TX21307,3
H8NJ07223,H8NJ11142,3
H8TX32098,H8NJ03206,3
S0AL00156,P00009621,3
H8NM02156,H8TX21307,3
S0KY00156,S2KY00012,3
S0NH00219,P00009423,3
H8VA07094,H8KS03155,3
H8NJ03206,H8CA45130,3
H8NJ11142,H8NM02248,3
P00009092,P00011999,3
H8CA48035,H8NJ07223,3
P00010298,H8CA10126,3
P00011833,P00010454,3
P00009621,H8IL14174,3
H8FL26039,H8VA07094,3
H8CA45130,H8CA39174,3
H8NM02248,H8NM01331,3
H8IA01094,H8TX23121,3
H8SC01116,H8NJ11142,3
H8TX07140,H8FL26039,3
H8IA01094,H8NY19181,3
H8NJ07223,H8CA48035,3
P00009621,S0NM00058,3
H8CA48035,H8IA03124,3
H8CA25074,P00009621,3
H8IL14174,H8CA10126,3
H8GA06393,H8FL26039,3
H8CA48035,H8NY19181,3
H8CA05035,P00009621,3
P80000722,H8ME02185,3
S0NH00219,S8MN00578,3
H8MI08102,H8CA10126,3
P80006117,P00011833,3
P80000722,H6GA05217,3
H8TX07140,H6MN02131,3
