id,candidate_name,party,candidate_office
C00612432,GAETZ, MATT,REP,H
C00614214,BERGMAN, JOHN,REP,H
C00614776,BUDD, THEODORE P.,REP,H
C00614826,KUSTOFF, DAVID,REP,H
C00615294,RUTHERFORD, JOHN,REP,H
C00617662,HIGGINS, CLAY CAPTAIN,REP,H
C00620443,MURPHY, STEPHANIE,DEM,H
C00620518,RUBIO, MARCO,REP,S
C00628917,JOHNSON, DUSTY,REP,H
C00629659,GOMEZ, JIMMY,DEM,H
C00629949,MOONEY, ALEXANDER XAVIER,REP,H
C00631945,GIANFORTE, GREG,REP,H
C00632059,WILLIAMS, LAVANGELENE A,DEM,H
C00632067,ESTES, RON,REP,H
C00632257,MAST, BRIAN,REP,H
C00633362,HANDEL, KAREN CHRISTINE,REP,H
C00633610,NORMAN, RALPH W. JR.,REP,H
C00633669,WU, BRIANNA,DEM,H
C00633859,DELGADO, ANTONIO,DEM,H
C00633982,ROUDA, HARLEY E JR,DEM,H
C00634014,PEACOCK, JULIA C.,DEM,H
C00634212,HILL, KATHERINE LAUREN,DEM,H
C00634253,LEVIN, MIKE,DEM,H
C00635722,ESPAILLAT, ADRIANO,DEM,H
C00635888,CAMPA-NAJJAR, AMMAR,DEM,H
C00636092,HERN, KEVIN R,REP,H
C00636571,PORTER, KATHERINE,DEM,H
C00636670,NEWMAN, MARIE,DEM,H
C00637074,FINKENAUER, ABBY,DEM,H
C00637363,CROW, JASON,DEM,H
C00637371,HOULAHAN, CHRISSY,DEM,H
C00637850,MACKLER, JAMES,DEM,S
C00637868,ALLRED, COLIN,DEM,H
C00637918,HUFFSTETLER, ROGER DEAN RD,DEM,H
C00638023,WEXTON, JENNIFER,DEM,H
C00638650,STEVENS, HALEY,DEM,H
C00638767,BUSH, CORI,DEM,H
C00639054,HAALAND, DEBRA,DEM,H
C00639146,HARDER, JOSH,DEM,H
C00639310,EASTMAN, KARA,DEM,H
C00639591,OCASIO-CORTEZ, ALEXANDRIA,DEM,H
C00639765,BILLIE, JOSEPH MICHAEL,REP,H
C00639807,BARREIRO, BRUNO,REP,H
C00640003,SHERRILL, MIKIE,DEM,H
C00640045,FLETCHER, ELIZABETH,DEM,H
C00640623,JONES, DOUG,DEM,S
C00640714,PHILLIPS, DEAN,DFL,H
C00640938,GREENE, JOAN,DEM,H
C00641381,MCCREADY, DANIEL,DEM,H
C00646455,LEARNED, ANDREW,DEM,H
C00646844,AXNE, CINDY,DEM,H
C00647115,RYAN, PATRICK,DEM,H
C00647149,HOLCOMB, ERIC JOSEPH,REP,S
C00647339,CURTIS, JOHN,REP,H
C00648220,KIM, ANDY,DEM,H
C00648253,NEGUSE, JOSEPH,DEM,H
C00648295,FULCHER, RUSSELL,REP,H
C00648493,CASTEN, SEAN,DEM,H
C00648626,SCHIFF, ADAM,DEM,H
C00648725,BRINDISI, ANTHONY,DEM,H
C00648915,HORN, KENDRA,DEM,H
C00648956,COX, TERRANCE JOHN (TJ),DEM,H
C00649004,MCLEOD-SKINNER, JAMIE,DEM,H
C00649061,COBB, TEDRA,DEM,H
C00649236,HARRIS, MARK EVERETTE,REP,H
C00649350,HEGAR, MARY JENNINGS MJ,DEM,S
C00649376,BOURDEAUX, CAROLYN,DEM,H
C00649483,LONDRIGAN, BETSY DIRKSEN,DEM,H
C00649806,BROWN, DAVID WILSON,DEM,H
C00649897,TIPIRNENI, HIRAL VYAS,DEM,H
C00649913,SPANBERGER, ABIGAIL,DEM,H
C00650150,SLOTKIN, ELISSA,DEM,H
C00650507,CUNNINGHAM, JOE,DEM,H
C00650648,CISNEROS, GILBERT,DEM,H
C00650697,STAUBER, PETER ALLEN,REP,H
C00651042,KIRKPATRICK, ANN,DEM,H
C00651208,JAMES, JOHN,REP,S
C00652065,MUCARSEL-POWELL, DEBBIE,DEM,H
C00652149,BURCHETT, TIM,REP,H
C00652248,ROSE, MAX,DEM,H
C00652297,JONES, GINA ORTIZ,DEM,H
C00652628,SCHRIER, KIM DR.,DEM,H
C00652719,UNDERWOOD, LAUREN,DEM,H
C00652727,HAWLEY, JOSHUA DAVID,REP,S
C00652743,ROSE, JOHN W.,REP,H
C00653147,BRAUN, MIKE,REP,S
C00653196,TRONE, DAVID,DEM,H
C00653220,MILLER, CAROL DEVINE,REP,H
C00653634,TAYLOR, NICHOLAS V.,REP,H
C00653816,GOLDEN, JARED,DEM,H
C00653923,ESCOBAR, VERONICA,DEM,H
C00654079,GONZALEZ, ANTHONY E,REP,H
C00654525,MITRANO, TRACY,DEM,H
C00654640,KENNEDY, RICHARD,DEM,H
C00654723,MEUSER, DANIEL,REP,H
C00655084,FRIEDENBERG, MARC,DEM,H
C00655134,MALIK, ANITA,DEM,H
C00655183,BALTER, DANA,DEM,H
C00655332,CLOUD, MICHAEL,REP,H
C00655571,HERRELL, STELLA YVETTE,REP,H
C00655613,LEE, SUSIE,DEM,H
C00655647,TRAHAN, LORI,DEM,H
C00656686,MALINOWSKI, TOM,DEM,H
C00657304,STANTON, GREG,DEM,H
C00657411,LAMB, CONOR,DEM,H
C00657833,RESCHENTHALER, GUY MR.,REP,H
C00657981,NEGRON, STEVE,REP,H
C00658385,GREEN, MARK DR.,REP,H
C00658401,PENCE, GREGORY J.,REP,H
C00658567,WILD, SUSAN,DEM,H
C00658633,MCADAMS, BEN,DEM,H
C00659938,YANG, ANDREW MR.,DEM,P
C00660050,WATKINS, STEVEN C. JR.,REP,H
C00660464,PAPPAS, CHRIS,DEM,H
C00660555,GARCIA, SYLVIA R,DEM,H
C00660795,CRENSHAW, DANIEL,REP,H
C00660837,JACOBS, SARA,DEM,H
C00661561,CLINE, BENJAMIN LEE,REP,H
C00661777,GARCIA, JESUS,DEM,H
C00661868,VAN DREW, JEFF,DEM,H
C00661892,HAYWOOD, CHARLES W. MR.,REP,H
C00662171,WRIGHT, RON,REP,H
C00662601,GOODEN, LANCE,REP,H
C00662619,LEVIN, ANDY,DEM,H
C00662650,BALDERSON, WILLIAM TROY,REP,H
C00662668,SIEGEL, MICHAEL,DEM,H
C00662767,ROY, CHIP,REP,H
C00662874,KULKARNI, SRI PRESTON,DEM,H
C00662940,BAIRD, JAMES R DR.,REP,H
C00663658,BREDESEN, PHILIP,DEM,S
C00663781,SMITH, TINA,DEM,S
C00663914,LESKO, DEBBIE,REP,H
C00664375,LURIA, ELAINE,DEM,H
C00664409,DENNEY, AUDREY L,DEM,H
